"","E_W","type","Name","Delta_Kelp.Pre-MPA","Delta_Kelp.Post-MPA","Change_in_Delta","Protection_Slope_Pre","Protection_Slope_Post","Distance_Slope_Pre","Distance_Slope_Post"
"1",1,"SMR","Richardson Rock",NA,NA,NA,-331.652308024524,-8936.76739844939,0.0150105237784784,0.369832127335695
"2",2,"SMR","Judith Rock",200.627749082474,-210.383019080028,411.010768162502,-76.0646444910618,-145.832811315063,-0.162496374623355,0.163867538137292
"3",3,"SMR","Harris Point",-253.694924111478,-216.847507015729,-36.8474170957494,-420.61857389286,-330.691417623224,0.151691903973105,0.17132349919262
"4",5,"SMR","Carrington Point",22.7364546390454,-50.1409562635459,72.8774109025913,35.6291360228966,-91.2839360494404,-0.0148330193925147,-0.0305641316182203
"5",6,"SMR","Skunk Point",114.025317630255,208.471215041156,-94.4458974109017,176.678824137043,311.56473288338,-0.0738592419816957,-0.066668339050727
"6",4,"SMR","South Point",263.083847017942,54.2965143201716,208.78733269777,539.444756137788,169.524341401116,-0.0442313984911261,0.00911390197248773
"7",8,"SMR","Gull Island",-209.899418326323,183.809210816412,-393.708629142734,-279.310110885771,260.050106684695,-0.0656417901995524,0.0391838724366899
"8",7,"SMCA2","Painted Cave",NA,NA,NA,0,91.9911647404873,0.0491151046398532,0.0795542176266734
"9",9,"SMR","Scorpion",73.5125900587508,161.84034545068,-88.3277553919295,3.8693736236278,432.216224570903,-0.0474109571197296,0.0393972720213225
"10",10,"SMCA1","Anacapa Island",-82.9842794522726,-137.080719051787,54.0964395995147,13.5591971475045,-79.5520728940367,0.0155196062405256,0.0718674072880762
"11",11,"SMR","Anacapa Island",-69.0478579745874,20.5197057593634,-89.5675637339508,-147.754466736833,114.767979193969,-0.284610523682341,-0.359799345235138
"12",12,"SMR","Santa Barbara Island",-55.984684442798,12.4861244082385,-68.4708088510364,-438.545998748195,-167.693849087509,-0.0521081098165717,-0.104884289127792
